path,height,weight,BMI
../data/raw/images/f_344.jpg,1.75,66.0,21.55102041
../data/raw/images/f_345.jpg,1.8,75.0,23.14814815
../data/raw/images/f_346.jpg,1.52,52.0,22.50692521
../data/raw/images/f_347.jpg,1.73,64.0,21.383942
../data/raw/images/f_348.jpg,1.73,57.0,19.04507334
../data/raw/images/f_349.jpg,1.63,52.0,19.57168128
../data/raw/images/f_350.jpg,1.63,67.0,25.21735858
../data/raw/images/f_351.jpg,1.65,59.0,21.67125803
../data/raw/images/f_352.jpg,1.57,49.0,19.8791026
../data/raw/images/f_353.jpg,1.65,57.0,20.93663912
../data/raw/images/f_354.jpg,1.57,94.0,38.13542132
../data/raw/images/f_355.jpg,1.6,52.0,20.3125
../data/raw/images/f_356.jpg,1.61,48.0,18.517804100000006
../data/raw/images/f_357.jpg,1.68,58.0,20.54988662
../data/raw/images/f_358.jpg,1.62,60.0,22.86236854
../data/raw/images/f_359.jpg,1.8,77.0,23.7654321
../data/raw/images/f_360.jpg,1.71,59.0,20.17714852
../data/raw/images/f_361.jpg,1.63,54.0,20.32443826
../data/raw/images/f_362.jpg,1.63,52.0,19.57168128
../data/raw/images/f_363.jpg,1.63,48.0,18.06616734
../data/raw/images/f_364.jpg,1.63,65.0,24.4646016
../data/raw/images/f_365.jpg,1.65,56.0,20.56932966
../data/raw/images/f_366.jpg,1.78,64.0,20.19946976
../data/raw/images/f_367.jpg,1.78,61.0,19.25261962
../data/raw/images/f_368.jpg,1.75,53.0,17.30612245
../data/raw/images/f_369.jpg,1.63,62.0,23.33546614
../data/raw/images/f_370.jpg,1.75,58.0,18.93877551
../data/raw/images/f_371.jpg,1.65,56.0,20.56932966
../data/raw/images/f_372.jpg,1.77,58.0,18.51319863
../data/raw/images/f_373.jpg,1.72,62.0,20.9572742
../data/raw/images/f_374.jpg,1.75,79.0,25.79591837
../data/raw/images/f_375.jpg,1.68,55.0,19.48696145
../data/raw/images/f_376.jpg,1.75,58.0,18.93877551
../data/raw/images/f_377.jpg,1.64,57.0,21.19274242
../data/raw/images/f_378.jpg,1.6,53.5,20.8984375
../data/raw/images/f_379.jpg,1.68,52.0,18.42403628
../data/raw/images/f_380.jpg,1.75,63.0,20.57142857
../data/raw/images/f_381.jpg,1.65,53.0,19.46740129
../data/raw/images/f_382.jpg,1.58,55.0,22.03172568
../data/raw/images/f_383.jpg,1.78,67.0,21.14631991
../data/raw/images/f_384.jpg,1.7,55.0,19.03114187
../data/raw/images/f_385.jpg,1.58,62.0,24.8357635
../data/raw/images/f_386.jpg,1.8,58.0,17.90123457
../data/raw/images/f_387.jpg,1.55,51.0,21.22788762
../data/raw/images/f_388.jpg,1.65,54.0,19.83471074
../data/raw/images/f_389.jpg,1.71,62.0,21.20310523
../data/raw/images/f_390.jpg,1.47,71.0,32.85668009
../data/raw/images/f_391.jpg,1.66,53.0,19.23356075
../data/raw/images/f_392.jpg,1.7,55.0,19.03114187
../data/raw/images/f_393.jpg,1.74,56.0,18.49649888
../data/raw/images/f_394.jpg,1.63,56.0,21.07719523
../data/raw/images/f_395.jpg,1.68,51.0,18.06972789
../data/raw/images/f_396.jpg,1.71,52.0,17.78324955
../data/raw/images/f_397.jpg,1.7,77.0,26.64359862
../data/raw/images/f_398.jpg,1.75,61.0,19.91836735
../data/raw/images/f_399.jpg,1.7,60.0,20.76124567
../data/raw/images/f_400.jpg,1.73,55.0,18.37682515
../data/raw/images/f_401.jpg,1.64,53.0,19.70553242
../data/raw/images/f_402.jpg,1.56,65.0,26.70940171
../data/raw/images/f_403.jpg,1.58,53.0,21.23057202
../data/raw/images/f_404.jpg,1.68,62.0,21.96712018
../data/raw/images/f_405.jpg,1.79,54.0,16.85340657
../data/raw/images/f_406.jpg,1.78,56.0,17.67453604
../data/raw/images/f_407.jpg,1.63,59.0,22.20633069
../data/raw/images/f_408.jpg,1.66,53.0,19.23356075
../data/raw/images/f_409.jpg,1.71,57.0,19.49317739
../data/raw/images/f_410.jpg,1.78,58.0,18.30576947
../data/raw/images/f_411.jpg,1.69,55.0,19.25702882
../data/raw/images/f_412.jpg,1.78,91.0,28.72112107
../data/raw/images/f_413.jpg,1.6,48.0,18.75
../data/raw/images/f_414.jpg,1.63,54.0,20.32443826
../data/raw/images/f_415.jpg,1.7,57.0,19.72318339
../data/raw/images/f_416.jpg,1.73,52.0,17.37445287
../data/raw/images/f_417.jpg,1.65,64.0,23.50780533
../data/raw/images/f_418.jpg,1.63,58.0,21.8299522
../data/raw/images/f_419.jpg,1.64,58.0,21.56454491
../data/raw/images/f_420.jpg,1.7,54.0,18.68512111
../data/raw/images/f_421.jpg,1.8,57.0,17.59259259
../data/raw/images/f_422.jpg,1.59,132.0,52.21312448
../data/raw/images/f_423.jpg,1.55,53.0,22.0603538
../data/raw/images/f_424.jpg,1.63,53.0,19.94805977
../data/raw/images/f_425.jpg,1.58,54.0,21.63114885
../data/raw/images/f_426.jpg,1.62,66.0,25.1486054
../data/raw/images/f_427.jpg,1.73,61.0,20.38156971
../data/raw/images/f_428.jpg,1.66,55.0,19.95935549
../data/raw/images/f_429.jpg,1.78,54.0,17.04330261
../data/raw/images/f_430.jpg,1.68,60.0,21.2585034
../data/raw/images/f_431.jpg,1.6,52.0,20.3125
../data/raw/images/f_432.jpg,1.7,60.0,20.76124567
../data/raw/images/f_433.jpg,1.68,53.0,18.77834467
../data/raw/images/f_434.jpg,1.63,53.0,19.94805977
../data/raw/images/f_435.jpg,1.75,54.0,17.63265306
../data/raw/images/f_436.jpg,1.7,84.0,29.06574394
../data/raw/images/f_437.jpg,1.67,54.0,19.36247266
../data/raw/images/f_438.jpg,1.6,52.0,20.3125
../data/raw/images/f_439.jpg,1.63,56.0,21.07719523
../data/raw/images/f_440.jpg,1.57,56.0,22.7189744
../data/raw/images/f_441.jpg,1.65,54.0,19.83471074
../data/raw/images/f_442.jpg,1.71,54.0,18.46722068
../data/raw/images/f_443.jpg,1.68,52.0,18.42403628
../data/raw/images/f_444.jpg,2.31,200.0,37.48055696
../data/raw/images/f_445.jpg,1.72,54.0,18.25310979
../data/raw/images/f_446.jpg,1.73,62.0,20.71569381
../data/raw/images/f_447.jpg,1.57,48.0,19.47340663
../data/raw/images/f_448.jpg,1.6,56.0,21.875
../data/raw/images/f_449.jpg,1.63,55.0,20.70081674
../data/raw/images/f_450.jpg,1.65,55.0,20.2020202
../data/raw/images/f_451.jpg,1.6,57.0,22.265625
../data/raw/images/f_452.jpg,1.65,59.0,21.67125803
../data/raw/images/f_453.jpg,1.6,54.0,21.09375
../data/raw/images/f_454.jpg,1.73,60.0,20.04744562
../data/raw/images/f_455.jpg,1.56,53.0,21.77843524
../data/raw/images/f_456.jpg,1.61,50.0,19.28937927
../data/raw/images/f_457.jpg,1.6,58.0,22.65625
../data/raw/images/f_458.jpg,1.68,58.0,20.54988662
../data/raw/images/f_459.jpg,1.58,57.0,22.83287935
../data/raw/images/f_460.jpg,1.71,60.0,20.51913409
../data/raw/images/f_461.jpg,1.6,53.0,20.703125
../data/raw/images/f_462.jpg,1.55,95.0,39.5421436
../data/raw/images/f_463.jpg,1.61,53.0,20.44674202
../data/raw/images/f_464.jpg,1.57,61.0,24.74745426
../data/raw/images/f_465.jpg,1.65,54.0,19.83471074
../data/raw/images/f_466.jpg,1.42,49.0,24.30073398
../data/raw/images/f_467.jpg,1.7,64.0,22.14532872
../data/raw/images/f_468.jpg,1.72,56.0,18.92915089
../data/raw/images/f_469.jpg,1.7,52.0,17.99307958
../data/raw/images/f_470.jpg,1.63,55.0,20.70081674
../data/raw/images/f_471.jpg,1.68,54.0,19.13265306
../data/raw/images/f_472.jpg,1.76,64.0,20.66115702
../data/raw/images/f_473.jpg,1.8,59.0,18.20987654
../data/raw/images/f_474.jpg,1.65,73.0,26.81359045
../data/raw/images/f_475.jpg,1.7,57.0,19.72318339
../data/raw/images/f_476.jpg,1.63,100.0,37.63784862
../data/raw/images/f_477.jpg,1.75,58.0,18.93877551
../data/raw/images/f_478.jpg,1.65,53.0,19.46740129
../data/raw/images/f_479.jpg,1.65,65.0,23.87511478
../data/raw/images/f_480.jpg,1.73,54.0,18.04270106
../data/raw/images/f_481.jpg,1.79,57.0,17.78970694
../data/raw/images/f_482.jpg,1.73,79.0,26.3958034
../data/raw/images/f_483.JPG,1.68,55.0,19.48696145
../data/raw/images/f_484.jpg,1.65,58.0,21.30394858
../data/raw/images/f_485.jpg,1.49,47.0,21.17021756
../data/raw/images/f_486.jpg,1.64,55.0,20.44913742
../data/raw/images/f_487.JPG,1.73,59.0,19.71332153
../data/raw/images/f_488.jpg,1.57,50.0,20.28479857
../data/raw/images/f_489.jpg,1.67,54.0,19.36247266
../data/raw/images/f_490.jpg,1.7,54.0,18.68512111
../data/raw/images/f_491.jpg,1.78,64.0,20.19946976
../data/raw/images/f_492.jpg,1.8,64.0,19.75308642
../data/raw/images/f_493.jpg,1.55,50.0,20.81165453
../data/raw/images/f_494.jpg,1.7,54.0,18.68512111
../data/raw/images/f_495.jpg,1.55,60.0,24.97398543
../data/raw/images/f_496.jpg,1.68,60.0,21.2585034
../data/raw/images/f_497.jpg,1.61,52.0,20.06095444
../data/raw/images/f_498.jpg,1.63,49.0,18.44254582
../data/raw/images/f_499.jpg,1.66,50.0,18.14486863
../data/raw/images/f_500.jpg,1.65,59.0,21.67125803
../data/raw/images/f_501.jpg,1.68,61.0,21.61281179
../data/raw/images/f_502.jpg,1.83,58.0,17.31911971
../data/raw/images/f_503.jpg,1.65,59.0,21.67125803
../data/raw/images/f_504.jpg,1.61,52.0,20.06095444
../data/raw/images/f_505.jpg,1.3,80.0,47.33727811
../data/raw/images/f_506.jpg,1.58,51.0,20.42941836
../data/raw/images/f_507.jpg,1.7,54.0,18.68512111
../data/raw/images/f_508.jpg,1.63,52.0,19.57168128
../data/raw/images/f_509.jpg,1.68,55.0,19.48696145
../data/raw/images/f_510.jpg,2.18,101.0,21.25241983
../data/raw/images/f_511.jpg,1.7,55.0,19.03114187
../data/raw/images/f_512.jpg,1.67,72.0,25.81663021
../data/raw/images/f_513.jpg,1.71,64.0,21.88707637
../data/raw/images/m_001.jpg,1.83,84.0,25.08286303
../data/raw/images/m_002.jpg,1.83,75.0,22.39541342
../data/raw/images/m_003.jpg,2.11,122.0,27.40279868
../data/raw/images/m_004.jpg,1.8,74.0,22.83950617
../data/raw/images/m_005.jpg,1.82,77.0,23.24598478
../data/raw/images/m_006.jpg,1.77,86.0,27.45060487
../data/raw/images/m_007.jpg,1.85,83.0,24.25127831
../data/raw/images/m_008.jpg,1.83,91.0,27.17310162
../data/raw/images/m_009.jpg,2.21,95.0,19.45087119
../data/raw/images/m_010.jpg,1.98,150.0,38.2614019
../data/raw/images/m_011.jpg,2.12,240.0,53.3997864
../data/raw/images/m_012.jpg,1.75,78.0,25.46938776
../data/raw/images/m_013.jpg,1.75,77.0,25.14285714
../data/raw/images/m_014.jpg,1.74,77.0,25.43268596
../data/raw/images/m_015.jpg,1.88,113.0,31.97148031
../data/raw/images/m_016.jpg,2.21,132.0,27.02647366
../data/raw/images/m_017.jpg,1.89,80.0,22.39578959
../data/raw/images/m_018.jpg,1.68,62.0,21.96712018
../data/raw/images/m_019.jpg,1.85,81.0,23.66691015
../data/raw/images/m_020.jpg,1.92,98.0,26.58420139
../data/raw/images/m_021.jpg,1.7,80.0,27.6816609
../data/raw/images/m_022.jpg,1.83,78.0,23.29122996
../data/raw/images/m_023.jpg,1.88,82.0,23.20054323
../data/raw/images/m_024.jpg,1.68,75.0,26.57312925
../data/raw/images/m_025.jpg,1.89,90.0,25.19526329
../data/raw/images/m_026.jpg,1.83,83.0,24.78425752
../data/raw/images/m_027.jpg,1.7,71.0,24.56747405
../data/raw/images/m_028.jpg,1.83,84.0,25.08286303
../data/raw/images/m_029.jpg,1.8,96.0,29.62962963
../data/raw/images/m_030.jpg,2.22,132.0,26.7835403
../data/raw/images/m_031.jpg,2.04,98.0,23.54863514
../data/raw/images/m_032.jpg,1.8,83.0,25.61728395
../data/raw/images/m_033.jpg,1.85,83.0,24.25127831
../data/raw/images/m_034.jpg,1.83,86.0,25.68007405
../data/raw/images/m_035.jpg,1.83,78.0,23.29122996
../data/raw/images/m_036.jpg,1.83,83.0,24.78425752
../data/raw/images/m_037.jpg,1.65,67.0,24.6097337
../data/raw/images/m_038.jpg,1.98,81.0,20.66115702
../data/raw/images/m_039.jpg,1.78,75.0,23.67125363
../data/raw/images/m_040.jpg,1.83,77.0,22.99262444
../data/raw/images/m_041.jpg,1.88,93.0,26.31281123
../data/raw/images/m_042.jpg,1.96,108.0,28.11328613
../data/raw/images/m_043.jpg,1.83,83.0,24.78425752
../data/raw/images/m_044.jpg,1.69,118.0,41.31508
../data/raw/images/m_045.jpg,1.83,80.0,23.88844098
../data/raw/images/m_046.jpg,1.85,86.0,25.12783053
../data/raw/images/m_047.jpg,1.83,83.0,24.78425752
../data/raw/images/m_048.jpg,1.85,87.0,25.42001461
../data/raw/images/m_049.jpg,1.85,89.0,26.00438276
../data/raw/images/m_050.jpg,1.78,83.0,26.19618735
../data/raw/images/m_051.jpg,1.83,77.0,22.99262444
../data/raw/images/m_052.jpg,1.85,82.0,23.95909423
../data/raw/images/m_053.jpg,1.79,74.0,23.09540901
../data/raw/images/m_054.jpg,1.88,93.0,26.31281123
../data/raw/images/m_055.jpg,1.83,88.0,26.27728508
../data/raw/images/m_056.jpg,1.78,85.0,26.82742078
../data/raw/images/m_057.jpg,1.9,91.0,25.20775623
../data/raw/images/m_058.jpg,1.85,98.0,28.63403944
../data/raw/images/m_059.jpg,1.85,80.0,23.37472608
../data/raw/images/m_060.jpg,1.83,90.0,26.8744961
../data/raw/images/m_061.jpg,1.85,90.0,26.29656684
../data/raw/images/m_062.jpg,1.75,80.0,26.12244898
../data/raw/images/m_063.jpg,1.83,78.0,23.29122996
../data/raw/images/m_064.jpg,1.88,84.0,23.76641014
../data/raw/images/m_065.jpg,1.83,82.0,24.48565201
../data/raw/images/m_066.jpg,1.74,75.0,24.77209671
../data/raw/images/m_067.jpg,2.26,98.0,19.18709374
../data/raw/images/m_068.jpg,1.89,87.0,24.35542118
../data/raw/images/m_069.jpg,1.78,80.0,25.2493372
../data/raw/images/m_070.jpg,1.87,76.0,21.73353542
../data/raw/images/m_071.jpg,1.75,75.0,24.48979592
../data/raw/images/m_072.jpg,1.84,84.0,24.81096408
../data/raw/images/m_073.jpg,1.93,81.0,21.74555022
../data/raw/images/m_074.jpg,1.92,83.0,22.51519097
../data/raw/images/m_075.jpg,1.83,75.0,22.39541342
../data/raw/images/m_076.jpg,1.85,84.0,24.54346238
../data/raw/images/m_077.jpg,1.93,95.0,25.50404038
../data/raw/images/m_078.jpg,1.83,79.0,23.58983547
../data/raw/images/m_079.jpg,1.78,83.0,26.19618735
../data/raw/images/m_080.jpg,1.65,60.0,22.03856749
../data/raw/images/m_081.jpg,1.47,89.0,41.18654264
../data/raw/images/m_082.jpg,1.73,69.0,23.05456246
../data/raw/images/m_083.jpg,1.78,73.0,23.0400202
../data/raw/images/m_084.jpg,1.7,68.0,23.52941176
../data/raw/images/m_085.jpg,1.75,65.0,21.2244898
../data/raw/images/m_086.jpg,1.68,68.0,24.09297052
../data/raw/images/m_087.jpg,1.78,73.0,23.0400202
../data/raw/images/m_088.jpg,1.83,75.0,22.39541342
../data/raw/images/m_089.jpg,1.85,87.0,25.42001461
../data/raw/images/m_090.jpg,1.8,79.0,24.38271605
../data/raw/images/m_091.jpg,1.6,72.0,28.125
../data/raw/images/m_092.jpg,1.88,83.0,23.48347669
../data/raw/images/m_093.jpg,1.85,89.0,26.00438276
../data/raw/images/m_094.jpg,1.7,70.0,24.22145329
../data/raw/images/m_095.jpg,1.88,86.0,24.33227705
../data/raw/images/m_096.jpg,1.91,100.0,27.41152929
../data/raw/images/m_097.jpg,1.88,83.0,23.48347669
../data/raw/images/m_098.jpg,1.85,80.0,23.37472608
../data/raw/images/m_099.jpg,1.78,76.0,23.98687034
../data/raw/images/m_100.jpg,1.91,88.0,24.12214577
../data/raw/images/m_101.jpg,1.7,70.0,24.22145329
../data/raw/images/m_102.jpg,1.78,86.0,27.1430375
../data/raw/images/m_103.jpg,2.13,111.0,24.4660451
../data/raw/images/m_104.jpg,1.83,79.0,23.58983547
../data/raw/images/m_105.jpg,1.88,86.0,24.33227705
../data/raw/images/m_106.jpg,2.18,104.0,21.88367982
../data/raw/images/m_107.jpg,1.73,74.0,24.72518293
../data/raw/images/m_108.jpg,1.83,79.0,23.58983547
../data/raw/images/m_109.jpg,1.88,107.0,30.27387958
../data/raw/images/m_110.jpg,1.82,77.0,23.24598478
../data/raw/images/m_111.jpg,1.59,70.0,27.68877813
../data/raw/images/m_112.jpg,1.96,118.0,30.71636818
../data/raw/images/m_113.jpg,1.65,74.0,27.18089991
../data/raw/images/m_114.jpg,1.83,83.0,24.78425752
../data/raw/images/m_115.jpg,1.73,82.0,27.39817568
../data/raw/images/m_116.jpg,1.75,74.0,24.16326531
../data/raw/images/m_117.jpg,1.88,79.0,22.35174287
../data/raw/images/m_118.jpg,1.75,77.0,25.14285714
../data/raw/images/m_119.jpg,1.84,76.0,22.44801512
../data/raw/images/m_120.jpg,1.85,80.0,23.37472608
../data/raw/images/m_121.jpg,1.83,79.0,23.58983547
../data/raw/images/m_122.jpg,1.68,64.0,22.67573696
../data/raw/images/m_123.jpg,1.7,70.0,24.22145329
../data/raw/images/m_124.jpg,1.69,73.0,25.55932916
../data/raw/images/m_125.jpg,1.73,68.0,22.72043837
../data/raw/images/m_126.jpg,1.85,89.0,26.00438276
../data/raw/images/m_127.jpg,1.96,63.0,16.39941691
../data/raw/images/m_128.jpg,1.79,77.0,24.03170937
../data/raw/images/m_129.jpg,1.85,72.0,21.03725347
../data/raw/images/m_130.jpg,1.8,74.0,22.83950617
../data/raw/images/m_131.jpg,1.75,74.0,24.16326531
../data/raw/images/m_132.jpg,1.88,92.0,26.02987777
../data/raw/images/m_133.jpg,1.83,68.0,20.30517483
../data/raw/images/m_134.jpg,1.65,64.0,23.50780533
../data/raw/images/m_135.jpg,1.65,61.0,22.40587695
../data/raw/images/m_136.jpg,1.72,78.0,26.36560303
../data/raw/images/m_137.jpg,1.85,70.0,20.45288532
../data/raw/images/m_138.jpg,1.88,82.0,23.20054323
../data/raw/images/m_139.jpg,1.42,68.0,33.72346757
../data/raw/images/m_140.jpg,1.74,72.0,23.78121284
../data/raw/images/m_141.jpg,1.8,79.0,24.38271605
../data/raw/images/m_142.jpg,1.85,86.0,25.12783053
../data/raw/images/m_143.jpg,1.9,73.0,20.22160665
../data/raw/images/m_144.jpg,1.8,80.0,24.69135802
../data/raw/images/m_145.jpg,1.78,72.0,22.72440348
../data/raw/images/m_146.jpg,1.69,72.0,25.20920136
../data/raw/images/m_147.jpg,1.88,90.0,25.46401086
../data/raw/images/m_148.jpg,2.31,143.0,26.79859823
../data/raw/images/m_149.jpg,2.18,175.0,36.82349971
../data/raw/images/m_150.jpg,1.85,77.0,22.49817385
../data/raw/images/m_151.jpg,1.88,78.0,22.06880942
../data/raw/images/m_152.jpg,1.88,113.0,31.97148031
../data/raw/images/m_153.jpg,2.16,117.0,25.07716049
../data/raw/images/m_154.jpg,1.8,85.0,26.2345679
../data/raw/images/m_155.jpg,2.21,138.0,28.25494973
../data/raw/images/m_156.jpg,1.93,100.0,26.84635829
../data/raw/images/m_157.jpg,1.85,85.0,24.83564646
../data/raw/images/m_158.jpg,1.76,74.0,23.88946281
../data/raw/images/m_159.jpg,2.21,119.0,24.3647755
../data/raw/images/m_160.jpg,1.83,74.0,22.09680791
../data/raw/images/m_161.jpg,1.85,84.0,24.54346238
../data/raw/images/m_162.jpg,1.85,92.0,26.88093499
../data/raw/images/m_163.jpg,1.68,68.0,24.09297052
../data/raw/images/m_164.jpg,1.8,73.0,22.5308642
../data/raw/images/m_165.jpg,1.8,75.0,23.14814815
../data/raw/images/m_166.jpg,1.75,79.0,25.79591837
../data/raw/images/m_167.jpg,1.88,85.0,24.04934359
../data/raw/images/m_168.jpg,1.89,84.0,23.51557907
../data/raw/images/m_169.jpg,1.7,68.0,23.52941176
../data/raw/images/m_170.jpg,1.77,71.0,22.66270867
../data/raw/images/m_171.jpg,1.8,91.0,28.08641975
../data/raw/images/m_172.jpg,2.01,99.0,24.50434395
